member_id,visit_date,age,gender,membership_type,workout_type,workout_duration_minutes,calories_burned,check_in_time,attendance_status
1,10/11/2024,64,Other,Annual,HIIT,28,171,20:04,Absent
2,6/1/2024,65,Female,Quarterly,Strength Training,72,650,19:17,Absent
3,6/13/2024,45,Male,Quarterly,Cardio,70,633,7:24,Absent
4,2/5/2024,35,Female,Monthly,CrossFit,64,362,7:18,Absent
5,7/13/2024,26,Female,Quarterly,Yoga,31,262,11:22,Absent
6,9/11/2024,45,Other,Quarterly,Cardio,63,518,20:08,Present
7,2/22/2024,30,Other,Quarterly,CrossFit,50,404,18:17,Absent
8,5/4/2024,38,Male,Annual,Yoga,99,959,21:59,Absent
9,2/10/2024,61,Female,Monthly,CrossFit,36,289,9:39,Present
10,8/14/2024,36,Other,Quarterly,Strength Training,94,643,11:29,Absent
11,10/11/2024,60,Female,Monthly,Strength Training,110,738,22:43,Present
12,12/25/2024,26,Female,Monthly,HIIT,86,547,8:17,Absent
13,6/28/2024,48,Female,Quarterly,HIIT,44,389,19:08,Absent
14,12/1/2024,54,Other,Annual,Yoga,99,644,14:45,Absent
15,7/8/2024,40,Other,Quarterly,CrossFit,99,643,20:18,Present
16,10/5/2024,38,Other,Monthly,HIIT,106,976,13:15,Absent
17,12/1/2024,28,Other,Monthly,Yoga,34,244,9:13,Present
18,6/27/2024,35,Other,Annual,CrossFit,25,211,18:38,Present
19,10/31/2024,32,Female,Annual,CrossFit,55,402,9:06,Present
20,7/31/2024,32,Female,Monthly,CrossFit,48,330,10:35,Present
21,1/2/2024,51,Other,Monthly,Cardio,68,526,16:58,Absent
22,7/28/2024,53,Female,Annual,HIIT,41,248,14:24,Absent
23,5/6/2024,30,Male,Quarterly,HIIT,98,577,20:49,Absent
24,7/31/2024,20,Male,Monthly,CrossFit,104,589,21:37,Present
25,12/7/2024,63,Male,Annual,Yoga,54,288,12:09,Present
26,9/23/2024,21,Female,Annual,Yoga,40,358,14:09,Absent
27,6/12/2024,52,Male,Monthly,CrossFit,77,620,14:48,Absent
28,5/2/2024,49,Other,Annual,HIIT,37,187,19:56,Absent
29,2/7/2024,39,Other,Quarterly,Strength Training,120,991,21:23,Present
30,12/2/2024,57,Female,Annual,CrossFit,96,621,13:16,Absent
31,3/10/2024,18,Male,Monthly,Cardio,52,455,9:43,Present
32,12/19/2024,19,Male,Monthly,CrossFit,59,374,19:23,Present
33,3/21/2024,27,Female,Annual,Strength Training,23,127,22:44,Present
34,3/17/2024,51,Male,Quarterly,CrossFit,36,208,20:18,Present
35,12/25/2024,50,Female,Monthly,CrossFit,59,584,17:28,Present
36,3/14/2024,48,Male,Monthly,Cardio,20,159,7:50,Absent
37,8/24/2024,49,Female,Annual,Strength Training,81,756,11:16,Absent
38,3/26/2024,47,Female,Annual,CrossFit,107,779,15:14,Present
39,5/21/2024,61,Female,Monthly,Strength Training,94,737,8:57,Present
40,5/25/2024,26,Other,Monthly,Yoga,100,562,5:16,Present
41,4/27/2024,50,Other,Quarterly,HIIT,51,428,15:05,Present
42,10/1/2024,26,Male,Annual,HIIT,94,859,7:04,Present
43,11/26/2024,45,Female,Monthly,HIIT,61,412,8:43,Absent
44,3/22/2024,19,Male,Monthly,Cardio,81,570,20:36,Absent
45,8/14/2024,39,Female,Monthly,Yoga,26,208,14:20,Absent
46,7/1/2024,33,Male,Monthly,CrossFit,56,336,21:50,Absent
47,12/7/2024,40,Other,Quarterly,Yoga,92,524,19:24,Absent
48,10/18/2024,32,Female,Monthly,Cardio,63,546,18:26,Absent
49,7/2/2024,42,Male,Monthly,CrossFit,103,755,16:47,Present
50,12/4/2024,42,Other,Quarterly,Strength Training,99,746,16:19,Absent
51,8/11/2024,27,Male,Monthly,Yoga,60,337,9:43,Present
52,11/22/2024,42,Male,Annual,CrossFit,42,346,5:27,Present
53,1/1/2024,47,Male,Quarterly,CrossFit,55,286,13:54,Absent
54,12/2/2024,23,Female,Monthly,CrossFit,115,1086,21:11,Absent
55,5/7/2024,18,Male,Annual,Cardio,53,483,15:03,Absent
56,3/2/2024,22,Other,Quarterly,Cardio,44,423,18:47,Present
57,6/12/2024,37,Male,Monthly,Cardio,37,242,11:54,Present
58,11/12/2024,39,Other,Annual,Yoga,76,596,9:48,Absent
59,6/14/2024,59,Female,Monthly,HIIT,47,460,17:00,Absent
60,3/8/2024,65,Other,Annual,HIIT,57,318,19:47,Present
61,1/19/2024,54,Female,Annual,Yoga,120,751,20:44,Present
62,4/8/2024,52,Other,Monthly,Strength Training,113,878,9:42,Present
63,10/10/2024,43,Female,Quarterly,Strength Training,22,142,22:58,Absent
64,9/4/2024,55,Male,Quarterly,HIIT,33,248,5:51,Absent
65,11/9/2024,33,Other,Quarterly,HIIT,37,251,10:56,Present
66,11/29/2024,29,Male,Quarterly,Cardio,83,683,22:12,Absent
67,7/17/2024,47,Female,Monthly,Cardio,25,172,5:44,Present
68,1/16/2024,31,Other,Quarterly,Yoga,42,243,10:34,Present
69,6/12/2024,34,Male,Quarterly,Cardio,54,515,20:05,Absent
70,1/18/2024,61,Male,Monthly,CrossFit,32,304,7:12,Absent
71,6/23/2024,22,Female,Annual,Strength Training,92,715,7:12,Absent
72,12/26/2024,30,Male,Annual,Cardio,49,378,11:52,Absent
73,8/29/2024,30,Female,Monthly,HIIT,26,233,17:42,Present
74,4/1/2024,34,Male,Quarterly,HIIT,58,561,19:50,Present
75,2/11/2024,33,Female,Monthly,CrossFit,53,340,5:22,Absent
76,11/22/2024,45,Male,Quarterly,Strength Training,54,522,5:01,Absent
77,2/20/2024,27,Other,Monthly,HIIT,84,476,22:34,Present
78,10/17/2024,27,Female,Annual,Cardio,80,549,21:01,Absent
79,5/10/2024,63,Other,Quarterly,Strength Training,45,265,21:09,Present
80,8/23/2024,59,Other,Annual,CrossFit,89,502,21:53,Present
81,12/17/2024,60,Male,Quarterly,Yoga,98,630,21:54,Present
82,6/3/2024,23,Other,Quarterly,Strength Training,43,228,6:52,Absent
83,10/17/2024,44,Male,Quarterly,CrossFit,20,148,8:30,Absent
84,5/26/2024,38,Other,Quarterly,Strength Training,108,605,22:52,Absent
85,1/23/2024,25,Female,Annual,Yoga,40,364,13:59,Present
86,2/10/2024,33,Female,Quarterly,Cardio,104,997,7:43,Present
87,3/4/2024,52,Female,Monthly,CrossFit,115,1098,16:18,Absent
88,12/14/2024,19,Male,Annual,HIIT,104,713,6:35,Absent
89,5/19/2024,53,Male,Quarterly,HIIT,37,194,15:22,Present
90,5/24/2024,18,Male,Quarterly,Cardio,41,342,10:41,Absent
91,4/4/2024,48,Male,Quarterly,Yoga,71,672,13:50,Absent
92,7/29/2024,20,Other,Monthly,CrossFit,26,148,9:25,Present
93,4/15/2024,32,Female,Annual,Yoga,64,562,22:15,Present
94,8/9/2024,47,Male,Monthly,HIIT,114,937,22:33,Absent
95,11/5/2024,41,Male,Quarterly,CrossFit,110,865,16:19,Absent
96,2/10/2024,58,Other,Annual,Strength Training,101,778,10:39,Absent
97,8/30/2024,59,Female,Monthly,Yoga,110,585,22:57,Present
98,11/17/2024,58,Other,Monthly,Strength Training,98,721,12:34,Present
99,1/21/2024,33,Female,Annual,Yoga,49,465,10:14,Absent
100,10/22/2024,42,Female,Quarterly,CrossFit,69,369,18:31,Present
101,3/12/2024,51,Male,Annual,HIIT,108,856,9:04,Absent
102,2/27/2024,36,Male,Annual,CrossFit,48,459,7:03,Absent
103,3/10/2024,20,Female,Annual,Yoga,89,714,6:34,Present
104,9/4/2024,64,Male,Monthly,CrossFit,86,796,7:55,Present
105,6/13/2024,22,Other,Monthly,Strength Training,64,590,19:39,Absent
106,10/14/2024,37,Female,Annual,Strength Training,108,961,15:30,Present
107,3/4/2024,30,Other,Annual,HIIT,80,596,9:01,Absent
108,10/5/2024,64,Other,Quarterly,Cardio,73,623,10:45,Present
109,10/30/2024,31,Female,Annual,Cardio,28,236,10:08,Absent
110,5/8/2024,48,Other,Quarterly,CrossFit,25,138,14:03,Present
111,7/13/2024,18,Male,Quarterly,HIIT,62,429,18:40,Absent
112,10/24/2024,30,Female,Monthly,HIIT,65,555,19:39,Present
113,10/23/2024,37,Other,Quarterly,HIIT,120,842,20:17,Present
114,12/31/2024,42,Male,Quarterly,Yoga,88,761,5:32,Absent
115,6/9/2024,27,Other,Annual,HIIT,27,203,12:15,Present
116,6/30/2024,47,Other,Quarterly,CrossFit,42,393,20:17,Absent
117,8/28/2024,49,Other,Quarterly,Cardio,31,193,9:26,Absent
118,12/25/2024,64,Other,Quarterly,Yoga,89,668,16:33,Present
119,2/6/2024,59,Female,Annual,HIIT,39,277,5:25,Absent
120,5/5/2024,47,Male,Monthly,Strength Training,69,591,9:23,Absent
121,4/11/2024,64,Male,Annual,Yoga,32,262,8:10,Present
122,11/19/2024,19,Female,Monthly,Cardio,120,1072,20:51,Absent
123,6/19/2024,32,Male,Quarterly,CrossFit,50,498,5:42,Absent
124,12/31/2024,23,Male,Annual,CrossFit,83,748,16:54,Present
125,12/28/2024,30,Other,Quarterly,HIIT,86,774,21:09,Present
126,10/17/2024,54,Male,Annual,Yoga,37,194,19:14,Absent
127,1/5/2024,62,Male,Annual,Strength Training,87,788,11:13,Absent
128,9/14/2024,18,Other,Monthly,Yoga,28,266,14:38,Absent
129,12/20/2024,18,Male,Annual,Strength Training,53,415,15:30,Present
130,8/4/2024,61,Other,Quarterly,Cardio,103,756,5:33,Present
131,1/16/2024,37,Female,Annual,CrossFit,104,873,17:13,Absent
132,4/15/2024,18,Male,Quarterly,Cardio,88,828,6:25,Absent
133,9/12/2024,52,Male,Quarterly,HIIT,84,534,17:02,Present
134,8/4/2024,37,Other,Annual,Cardio,65,327,5:11,Absent
135,3/16/2024,59,Other,Monthly,Cardio,44,341,16:15,Absent
136,2/27/2024,65,Male,Quarterly,Strength Training,113,934,14:09,Absent
137,3/18/2024,50,Other,Monthly,Cardio,117,878,6:06,Present
138,7/5/2024,38,Other,Quarterly,Strength Training,98,578,7:43,Present
139,11/3/2024,34,Male,Annual,Cardio,42,214,20:37,Present
140,2/4/2024,51,Female,Annual,Yoga,63,466,10:46,Present
141,12/13/2024,56,Female,Annual,Cardio,67,440,13:38,Present
142,3/25/2024,38,Female,Annual,HIIT,82,816,9:38,Absent
143,4/20/2024,20,Other,Annual,Strength Training,80,403,7:40,Absent
144,1/28/2024,32,Female,Monthly,Yoga,48,476,10:24,Absent
145,7/11/2024,52,Other,Annual,Strength Training,27,155,16:55,Absent
146,1/11/2024,20,Other,Monthly,Cardio,56,405,8:19,Present
147,10/24/2024,38,Female,Quarterly,Cardio,106,808,17:12,Present
148,8/17/2024,48,Male,Monthly,Yoga,109,793,6:26,Present
149,5/25/2024,18,Male,Monthly,Strength Training,83,823,13:11,Absent
150,9/11/2024,64,Other,Quarterly,CrossFit,91,537,6:24,Present
151,1/13/2024,29,Other,Annual,Yoga,31,268,15:57,Absent
152,2/10/2024,41,Other,Quarterly,Strength Training,83,819,5:38,Present
153,10/17/2024,19,Other,Quarterly,CrossFit,65,472,17:58,Absent
154,1/8/2024,27,Male,Quarterly,CrossFit,66,469,10:50,Present
155,6/16/2024,20,Male,Annual,CrossFit,52,488,13:11,Absent
156,6/12/2024,37,Other,Annual,CrossFit,54,487,10:20,Present
157,10/10/2024,57,Other,Monthly,Strength Training,63,341,6:46,Absent
158,5/24/2024,65,Other,Monthly,Strength Training,74,667,20:48,Absent
159,3/14/2024,49,Female,Monthly,HIIT,59,367,20:38,Present
160,8/29/2024,49,Other,Monthly,HIIT,56,512,16:22,Absent
161,10/4/2024,26,Female,Annual,Strength Training,100,984,13:25,Absent
162,5/9/2024,61,Male,Monthly,CrossFit,80,553,17:39,Present
163,2/5/2024,57,Male,Annual,Yoga,111,1000,17:12,Absent
164,4/1/2024,23,Female,Quarterly,Cardio,113,645,15:36,Absent
165,2/24/2024,45,Other,Quarterly,CrossFit,59,299,8:57,Absent
166,2/27/2024,25,Other,Quarterly,Cardio,81,572,16:00,Present
167,3/17/2024,50,Female,Monthly,Cardio,47,278,18:58,Present
168,12/29/2024,47,Male,Annual,HIIT,40,227,14:39,Present
169,3/19/2024,33,Other,Monthly,CrossFit,39,299,15:27,Present
170,11/1/2024,19,Male,Monthly,CrossFit,77,402,13:29,Absent
171,3/15/2024,49,Male,Quarterly,HIIT,92,809,12:17,Absent
172,12/6/2024,45,Male,Quarterly,Cardio,76,647,11:50,Absent
173,6/1/2024,38,Male,Annual,CrossFit,28,200,7:15,Absent
174,3/18/2024,22,Other,Monthly,HIIT,109,965,11:53,Present
175,12/12/2024,38,Other,Annual,Strength Training,82,560,14:27,Present
176,7/3/2024,61,Other,Annual,HIIT,31,246,5:42,Absent
177,12/6/2024,25,Female,Quarterly,Strength Training,107,821,16:27,Present
178,1/25/2024,41,Other,Annual,CrossFit,47,395,22:22,Absent
179,9/3/2024,61,Other,Monthly,Cardio,57,408,21:12,Present
180,7/6/2024,38,Other,Quarterly,Strength Training,48,348,18:39,Present
181,12/21/2024,54,Other,Quarterly,CrossFit,69,487,19:23,Present
182,3/17/2024,58,Female,Annual,Cardio,97,862,9:21,Present
183,5/26/2024,63,Male,Monthly,Yoga,55,525,7:18,Absent
184,2/6/2024,45,Male,Annual,Cardio,118,775,17:42,Absent
185,10/30/2024,30,Other,Quarterly,Yoga,72,608,20:50,Present
186,6/5/2024,34,Male,Monthly,Yoga,94,690,6:17,Absent
187,2/24/2024,51,Other,Quarterly,HIIT,108,611,17:40,Absent
188,3/5/2024,59,Female,Monthly,HIIT,71,641,13:46,Absent
189,4/14/2024,53,Female,Quarterly,Strength Training,98,900,12:30,Absent
190,12/4/2024,60,Female,Monthly,Strength Training,109,780,11:36,Absent
191,3/18/2024,40,Female,Quarterly,Cardio,20,113,11:29,Absent
192,11/18/2024,62,Female,Monthly,Yoga,31,247,13:27,Present
193,1/4/2024,52,Male,Annual,HIIT,73,456,18:31,Absent
194,8/17/2024,55,Other,Quarterly,Cardio,105,931,12:24,Present
195,1/9/2024,30,Male,Annual,Cardio,25,212,14:50,Present
196,1/31/2024,41,Other,Annual,CrossFit,102,944,8:55,Absent
197,4/16/2024,39,Female,Quarterly,Yoga,78,666,12:57,Absent
198,11/15/2024,31,Male,Quarterly,HIIT,33,206,10:45,Present
199,1/2/2024,61,Other,Monthly,HIIT,106,706,22:05,Present
200,9/10/2024,48,Other,Quarterly,HIIT,68,565,21:24,Absent
201,1/5/2024,46,Female,Quarterly,Strength Training,27,246,6:22,Absent
202,10/15/2024,49,Male,Annual,Cardio,72,591,11:22,Absent
203,3/14/2024,39,Other,Monthly,CrossFit,52,486,10:01,Absent
204,7/12/2024,24,Male,Monthly,Cardio,51,275,11:41,Absent
205,4/14/2024,43,Male,Annual,Strength Training,36,301,14:28,Present
206,2/22/2024,56,Female,Annual,CrossFit,74,398,19:03,Present
207,6/28/2024,57,Male,Annual,Cardio,64,474,10:09,Present
208,5/31/2024,54,Female,Monthly,Strength Training,62,613,10:30,Present
209,8/21/2024,25,Male,Quarterly,Cardio,106,766,19:32,Absent
210,2/25/2024,49,Male,Annual,Cardio,120,614,15:58,Absent
211,1/12/2024,52,Other,Quarterly,Yoga,101,548,15:07,Present
212,8/25/2024,50,Female,Quarterly,HIIT,69,655,14:23,Absent
213,9/22/2024,50,Female,Quarterly,CrossFit,34,266,9:27,Present
214,11/25/2024,64,Female,Monthly,Strength Training,98,769,17:20,Absent
215,11/30/2024,38,Female,Annual,Cardio,111,1025,21:15,Present
216,4/7/2024,27,Male,Monthly,Cardio,70,540,14:34,Absent
217,8/26/2024,41,Other,Annual,Yoga,83,741,17:44,Absent
218,11/7/2024,52,Male,Annual,Strength Training,92,852,17:03,Present
219,12/21/2024,62,Other,Monthly,CrossFit,58,368,17:22,Absent
220,10/21/2024,28,Male,Annual,HIIT,26,169,15:20,Present
221,5/20/2024,58,Female,Annual,Strength Training,59,466,9:17,Present
